station_id,station_name,first_year,last_year,year_range,complete,msl_trends_mm_yr,95_ci_mm_yr,msl_trend_ft_century,95_ci_ft_century,latitude,longitude,location
8419870,"Seavey Island, ME",1926,2001,75,74,1.76,0.30,0.58,0.10,43.0800,-70.7417,POINT(-70.7417 43.0800)
8443970,"Boston, MA",1921,2015,94,99,2.79,0.16,0.92,0.05,42.3548,-71.0534,POINT(-71.0534 42.3548)
8447930,"Woods Hole, MA",1932,2015,83,95,2.81,0.18,0.92,0.06,41.5233,-70.6717,POINT(-70.6717 41.5233)
8449130,"Nantucket Island, MA",1965,2015,50,96,3.52,0.38,1.15,0.13,41.2850,-70.0967,POINT(-70.0967 41.2850)
8452660,"Newport, RI",1930,2015,85,87,2.72,0.17,0.89,0.05,41.5050,-71.3267,POINT(-71.3267 41.5050)
8454000,"Providence, RI",1938,2015,77,87,2.22,0.25,0.73,0.08,41.8071,-71.4012,POINT(-71.4012 41.8071)
8461490,"New London, CT",1938,2015,77,97,2.55,0.23,0.84,0.07,41.3614,-72.0900,POINT(-72.0900 41.3614)
8467150,"Bridgeport, CT",1964,2015,51,97,2.81,0.45,0.92,0.15,41.1733,-73.1817,POINT(-73.1817 41.1733)
8510560,"Montauk, NY",1947,2015,68,93,3.21,0.28,1.05,0.09,41.0483,-71.9600,POINT(-71.9600 41.0483)
8514560,"Port Jefferson, NY",1957,1992,35,98,2.44,0.76,0.80,0.25,40.9500,-73.0767,POINT(-73.0767 40.9500)
8516945,"Kings Point, NY",1931,2015,84,20,2.50,0.21,0.82,0.07,40.8103,-73.7649,POINT(-73.7649 40.8103)
8518750,"The Battery, NY",1856,2015,159,90,2.84,0.09,0.93,0.03,40.7006,-74.0142,POINT(-74.0142 40.7006)
8519483,"Bergen Point, NY",1981,2015,34,94,4.35,0.90,1.43,0.30,40.6367,-74.1417,POINT(-74.1417 40.6367)
8531680,"Sandy Hook, NJ",1932,2015,83,99,4.05,0.22,1.33,0.07,40.4669,-74.0094,POINT(-74.0094 40.4669)
8534720,"Atlantic City, NJ",1911,2015,104,91,4.07,0.16,1.33,0.05,39.3550,-74.4183,POINT(-74.4183 39.3550)
8536110,"Cape May, NJ",1965,2015,50,91,4.54,0.55,1.49,0.18,38.9683,-74.9600,POINT(-74.9600 38.9683)
8545240,"Philadelphia, PA",1900,2015,115,22,2.93,0.19,0.96,0.06,39.9333,-75.1417,POINT(-75.1417 39.9333)
8551910,"Reedy Point, DE",1956,2015,59,60,3.54,0.51,1.16,0.17,39.5583,-75.5733,POINT(-75.5733 39.5583)
8557380,"Lewes, DE",1919,2015,96,62,3.40,0.24,1.11,0.08,38.7817,-75.1200,POINT(-75.1200 38.7817)
8570283,"Ocean City Inlet, MD",1975,2015,40,35,5.60,0.97,1.84,0.32,38.3283,-75.0917,POINT(-75.0917 38.3283)
8571892,"Cambridge, MD",1943,2015,72,60,3.69,0.33,1.21,0.11,38.5733,-76.0683,POINT(-76.0683 38.5733)
8573364,"Tolchester Beach, MD",1986,2014,28,75,4.25,1.51,1.40,0.50,39.2133,-76.2450,POINT(-76.2450 39.2133)
8573927,"Chesapeake City, MD",1972,2015,43,53,3.81,0.77,1.25,0.25,39.5267,-75.8100,POINT(-75.8100 39.5267)
8574680,"Baltimore, MD",1902,2015,113,100,3.14,0.13,1.03,0.04,39.2667,-76.5783,POINT(-76.5783 39.2667)
8575512,"Annapolis, MD",1928,2015,87,97,3.53,0.21,1.16,0.07,38.9833,-76.4816,POINT(-76.4816 38.9833)
8577330,"Solomons Island, MD",1937,2015,78,66,3.74,0.25,1.23,0.08,38.3167,-76.4517,POINT(-76.4517 38.3167)
8594900,"Washington, DC",1924,2015,91,90,3.22,0.29,1.06,0.09,38.8733,-77.0217,POINT(-77.0217 38.8733)
8631044,"Wachapreague, VA",1978,2015,37,73,5.37,0.86,1.76,0.28,37.6078,-75.6858,POINT(-75.6858 37.6078)
8632200,"Kiptopeke, VA",1951,2015,64,99,3.58,0.34,1.17,0.11,37.1652,-75.9884,POINT(-75.9884 37.1652)
8635150,"Colonial Beach, VA",1972,2010,38,88,4.89,0.97,1.60,0.32,38.2517,-76.9600,POINT(-76.9600 38.2517)
8635750,"Lewisetta, VA",1974,2015,41,99,5.42,0.71,1.78,0.23,37.9961,-76.4644,POINT(-76.4644 37.9961)
8637624,"Gloucester Point, VA",1950,2003,53,97,3.81,0.47,1.25,0.15,37.2467,-76.5000,POINT(-76.5000 37.2467)
8638610,"Sewells Point, VA",1927,2015,88,99,4.59,0.23,1.51,0.08,36.9467,-76.3300,POINT(-76.3300 36.9467)
8638660,"Portsmouth, VA",1935,1987,52,100,3.76,0.45,1.23,0.15,36.8217,-76.2933,POINT(-76.2933 36.8217)
8638863,"Chesapeake Bay Bridge Tunnel, VA",1975,2015,40,99,5.93,0.77,1.94,0.25,36.9667,-76.1133,POINT(-76.1133 36.9667)
8651370,"Duck, NC",1978,2015,37,98,4.48,0.78,1.47,0.26,36.1833,-75.7467,POINT(-75.7467 36.1833)
8652587,"Oregon Inlet Marina, NC",1977,2015,38,59,3.84,1.23,1.26,0.40,35.7950,-75.5483,POINT(-75.5483 35.7950)
8656483,"Beaufort, NC",1953,2015,62,71,2.89,0.36,0.95,0.12,34.7200,-76.6700,POINT(-76.6700 34.7200)
8658120,"Wilmington, NC",1935,2015,80,97,2.19,0.35,0.72,0.11,34.2267,-77.9533,POINT(-77.9533 34.2267)
8659084,"Southport, NC",1933,2008,75,16,2.00,0.41,0.66,0.14,33.9150,-78.0183,POINT(-78.0183 33.9150)
8661070,"Springmaid Pier, SC",1957,2015,58,64,3.90,0.58,1.28,0.19,33.6550,-78.9183,POINT(-78.9183 33.6550)
8665530,"Charleston, SC",1921,2015,94,99,3.21,0.22,1.05,0.07,32.7817,-79.9250,POINT(-79.9250 32.7817)
8670870,"Fort Pulaski, GA",1935,2015,80,97,3.17,0.28,1.04,0.09,32.0333,-80.9017,POINT(-80.9017 32.0333)
8720030,"Fernandina Beach, FL",1897,2015,118,78,2.08,0.18,0.68,0.06,30.6717,-81.4650,POINT(-81.4650 30.6717)
8720218,"Mayport, FL",1928,2015,87,17,2.55,0.27,0.84,0.09,30.3967,-81.4300,POINT(-81.4300 30.3967)
8721120,"Daytona Beach Shores, FL",1925,1983,58,11,2.32,0.63,0.76,0.21,29.1467,-80.9633,POINT(-80.9633 29.1467)
8722670,"Lake Worth Pier, FL",1970,2015,45,41,3.56,0.66,1.17,0.22,26.6117,-80.0333,POINT(-80.0333 26.6117)
8723170,"Miami Beach, FL",1931,1981,50,93,2.39,0.43,0.78,0.14,25.7683,-80.1317,POINT(-80.1317 25.7683)
8723970,"Vaca Key, FL",1971,2015,44,91,3.53,0.48,1.16,0.16,24.7117,-81.1050,POINT(-81.1050 24.7117)
8724580,"Key West, FL",1913,2015,102,93,2.37,0.15,0.78,0.05,24.5557,-81.8079,POINT(-81.8079 24.5557)
8725110,"Naples, FL",1965,2015,50,98,2.65,0.47,0.87,0.16,26.1317,-81.8075,POINT(-81.8075 26.1317)
8725520,"Fort Myers, FL",1965,2015,50,95,2.85,0.49,0.93,0.16,26.6477,-81.8712,POINT(-81.8712 26.6477)
8726520,"St. Petersburg, FL",1947,2015,68,100,2.66,0.25,0.87,0.08,27.7606,-82.6269,POINT(-82.6269 27.7606)
8726724,"Clearwater Beach, FL",1973,2015,42,89,3.37,0.62,1.11,0.20,27.9783,-82.8317,POINT(-82.8317 27.9783)
8727520,"Cedar Key, FL",1914,2015,101,84,1.97,0.18,0.65,0.06,29.1350,-83.0317,POINT(-83.0317 29.1350)
8728690,"Apalachicola, FL",1967,2015,48,95,1.96,0.66,0.64,0.22,29.7267,-84.9817,POINT(-84.9817 29.7267)
8729108,"Panama City, FL",1973,2015,42,97,1.92,0.64,0.63,0.21,30.1523,-85.6669,POINT(-85.6669 30.1523)
8729840,"Pensacola, FL",1923,2015,92,98,2.25,0.23,0.74,0.07,30.4044,-87.2112,POINT(-87.2112 30.4044)
8735180,"Dauphin Island, AL",1966,2015,49,84,3.30,0.61,1.08,0.20,30.2500,-88.0750,POINT(-88.0750 30.2500)
8737048,"Mobile State Docks, AL",1980,2015,35,29,3.19,1.55,1.05,0.51,30.7083,-88.0433,POINT(-88.0433 30.7083)
8747437,"Bay Waveland, MS",1978,2015,37,67,4.10,0.92,1.34,0.30,30.3264,-89.3258,POINT(-89.3258 30.3264)
8761724,"Grand Isle, LA",1947,2015,68,54,9.05,0.46,2.97,0.15,29.2633,-89.9567,POINT(-89.9567 29.2633)
8761927,"New Canal, LA",1982,2015,33,59,4.71,1.35,1.54,0.44,30.0272,-90.1134,POINT(-90.1134 30.0272)
8764311,"Eugene Island, LA",1939,1974,35,51,9.65,1.24,3.17,0.41,29.3717,-91.3850,POINT(-91.3850 29.3717)
8770570,"Sabine Pass, TX",1958,2015,57,54,5.54,0.79,1.82,0.26,29.7284,-93.8701,POINT(-93.8701 29.7284)
8771450,"Galveston Pier 21, TX",1908,2015,107,98,6.37,0.24,2.09,0.08,29.3100,-94.7933,POINT(-94.7933 29.3100)
8771510,"Galveston Pleasure Pier, TX",1957,2011,54,91,6.62,0.69,2.17,0.23,29.2853,-94.7894,POINT(-94.7894 29.2853)
8772440,"Freeport, TX",1954,2008,36,100,4.43,1.05,1.45,0.34,28.9483,-95.3083,POINT(-95.3083 28.9483)
8774770,"Rockport, TX",1937,2015,78,68,5.33,0.47,1.75,0.15,28.0217,-97.0467,POINT(-97.0467 28.0217)
8775870,"Corpus Christi, TX",1983,2015,32,96,3.80,1.17,1.25,0.38,27.5800,-97.2167,POINT(-97.2167 27.5800)
8778490,Port Mansfield,1963,2006,43,94,1.93,0.97,0.63,0.32,26.5546,-97.4221,POINT(-97.4221 26.5546)
8779750,"Padre Island, TX",1958,2006,48,85,3.48,0.75,1.14,0.25,26.0683,-97.1567,POINT(-97.1567 26.0683)
8779770,"Port Isabel, TX",1944,2015,71,73,3.83,0.35,1.26,0.11,26.0600,-97.2150,POINT(-97.2150 26.0600)
9410170,"San Diego, CA",1906,2015,109,98,2.13,0.19,0.70,0.06,32.7142,-117.1736,POINT(-117.1736 32.7142)
9410230,"La Jolla, CA",1924,2015,91,95,2.19,0.27,0.72,0.09,32.8667,-117.2580,POINT(-117.2580 32.8667)
9410580,"Newport Beach, CA",1955,1993,38,100,2.22,1.04,0.73,0.34,33.6033,-117.8830,POINT(-117.8830 33.6033)
9410660,"Los Angeles, CA",1923,2015,92,99,0.95,0.24,0.31,0.08,33.7200,-118.2720,POINT(-118.2720 33.7200)
9410840,"Santa Monica, CA",1933,2015,82,86,1.52,0.35,0.50,0.11,34.0083,-118.5000,POINT(-118.5000 34.0083)
9411270,"Rincon Island, CA",1962,1990,28,92,3.22,1.66,1.06,0.54,34.3483,-119.4430,POINT(-119.4430 34.3483)
9411340,"Santa Barbara, CA",1973,2015,42,58,1.11,1.28,0.36,0.42,34.4083,-119.6850,POINT(-119.6850 34.4083)
9412110,"Port San Luis, CA",1945,2015,70,94,0.84,0.40,0.28,0.13,35.1767,-120.7600,POINT(-120.7600 35.1767)
9413450,"Monterey, CA",1973,2015,42,99,1.40,0.95,0.46,0.31,36.6050,-121.8880,POINT(-121.8880 36.6050)
9414290,"San Francisco, CA",1897,2015,118,99,1.94,0.19,0.64,0.06,37.8067,-122.4650,POINT(-122.4650 37.8067)
9414523,"Redwood City, CA",1974,2015,41,45,1.96,1.83,0.64,0.60,37.5067,-122.2100,POINT(-122.2100 37.5067)
9414750,"Alameda, CA",1939,2015,76,99,0.72,0.42,0.24,0.14,37.7717,-122.2983,POINT(-122.2983 37.7717)
9415020,"Point Reyes, CA",1975,2015,40,98,1.97,1.02,0.65,0.34,37.9961,-122.9767,POINT(-122.9767 37.9961)
9415144,"Port Chicago, CA",1976,2015,39,98,1.55,1.67,0.51,0.55,38.0560,-122.0395,POINT(-122.0395 38.0560)
9416841,"Arena Cove, CA",1978,2015,37,79,0.42,1.16,0.14,0.38,38.9133,-123.7080,POINT(-123.7080 38.9133)
9418767,"North Spit, CA",1977,2015,38,98,4.60,1.06,1.51,0.35,40.7667,-124.2170,POINT(-124.2170 40.7667)
9419750,"Crescent City, CA",1933,2015,82,93,-0.81,0.31,-0.26,0.10,41.7450,-124.1830,POINT(-124.1830 41.7450)
9431647,"Port Orford, OR",1977,2015,38,82,-0.08,1.32,-0.03,0.43,42.7390,-124.4983,POINT(-124.4983 42.7390)
9432780,"Charleston, OR",1970,2015,45,98,0.98,0.83,0.32,0.27,43.3450,-124.3220,POINT(-124.3220 43.3450)
9435380,"South Beach, OR",1967,2015,48,100,1.55,0.76,0.51,0.25,44.6250,-124.0430,POINT(-124.0430 44.6250)
9437540,"Garibaldi, OR",1970,2015,45,45,2.46,0.85,0.81,0.28,45.5545,-123.9189,POINT(-123.9189 45.5545)
9439011,"Hammond, OR",1983,2014,31,28,-1.22,1.81,-0.40,0.59,46.2017,-123.9450,POINT(-123.9450 46.2017)
9439040,"Astoria, OR",1925,2015,90,96,-0.23,0.34,-0.08,0.11,46.2073,-123.7683,POINT(-123.7683 46.2073)
9440910,"Toke Point, WA",1973,2015,42,92,0.40,0.98,0.13,0.32,46.7075,-123.9669,POINT(-123.9669 46.7075)
9443090,"Neah Bay, WA",1934,2015,81,97,-1.73,0.31,-0.57,0.10,48.3667,-124.6117,POINT(-124.6117 48.3667)
9444090,"Port Angeles, WA",1975,2015,40,99,0.14,0.96,0.05,0.32,48.1250,-123.4400,POINT(-123.4400 48.1250)
9444900,"Port Townsend, WA",1972,2015,43,97,1.82,0.80,0.60,0.26,48.1117,-122.7580,POINT(-122.7580 48.1117)
9447130,"Seattle, WA",1899,2015,116,99,2.01,0.15,0.66,0.05,47.6026,-122.3393,POINT(-122.3393 47.6026)
9449424,"Cherry Point, WA",1973,2015,42,97,0.25,0.82,0.08,0.27,48.8633,-122.7580,POINT(-122.7580 48.8633)
9449880,"Friday Harbor, WA",1934,2015,81,82,1.12,0.28,0.37,0.09,48.5467,-123.0100,POINT(-123.0100 48.5467)
9450460,"Ketchikan, AK",1919,2015,96,92,-0.31,0.23,-0.10,0.08,55.3318,-131.6262,POINT(-131.6262 55.3318)
9451600,"Sitka, AK",1924,2015,91,81,-2.28,0.28,-0.75,0.09,57.0517,-135.3420,POINT(-135.3420 57.0517)
9452210,"Juneau, AK",1936,2015,79,92,-13.14,0.35,-4.31,0.12,58.2983,-134.4120,POINT(-134.4120 58.2983)
9452400,"Skagway, AK",1944,2015,71,80,-17.59,0.52,-5.77,0.17,59.4500,-135.3270,POINT(-135.3270 59.4500)
9453220,"Yakutat, AK",1988,2015,27,95,-14.10,1.50,-4.62,0.49,59.5485,-139.7334,POINT(-139.7334 59.5485)
9454050,"Cordova, AK",1988,2015,27,94,-0.04,1.36,-0.01,0.45,60.5583,-145.7530,POINT(-145.7530 60.5583)
9454240,"Valdez, AK",1988,2015,27,95,-8.60,1.50,-2.82,0.49,61.1250,-146.3620,POINT(-146.3620 61.1250)
9455090,"Seward, AK",1964,2015,51,86,-2.62,0.69,-0.86,0.23,60.1200,-149.4267,POINT(-149.4267 60.1200)
9455500,"Seldovia, AK",1964,2015,51,96,-10.08,0.80,-3.31,0.26,59.4405,-151.7199,POINT(-151.7199 59.4405)
9455760,"Nikiski, AK",1973,2015,42,52,-10.42,1.05,-3.42,0.34,60.6833,-151.3980,POINT(-151.3980 60.6833)
9455920,"Anchorage, AK",1972,2015,43,86,-0.54,1.07,-0.18,0.35,61.2383,-149.8900,POINT(-149.8900 61.2383)
9457292,"Kodiak Island, AK",1975,2015,40,53,-10.41,0.89,-3.42,0.29,57.7317,-152.5120,POINT(-152.5120 57.7317)
9459450,"Sand Point, AK",1972,2015,43,96,0.92,0.92,0.30,0.30,55.3367,-160.5020,POINT(-160.5020 55.3367)
9461380,"Adak Island, AK",1957,2015,58,89,-2.83,0.42,-0.93,0.14,51.8633,-176.6320,POINT(-176.6320 51.8633)
9462620,"Unalaska, AK",1957,2015,58,64,-5.08,0.53,-1.67,0.17,53.8800,-166.5370,POINT(-166.5370 53.8800)
9463502,"Port Moller, AK",1984,2015,31,41,2.64,1.79,0.86,0.59,55.9900,-160.5620,POINT(-160.5620 55.9900)
9497645,"Prudhoe Bay, AK",1990,2014,24,92,1.20,1.99,0.39,0.65,70.4000,-148.5270,POINT(-148.5270 70.4000)
9731158,"Guantanamo Bay, Cuba",1937,1971,34,57,1.64,0.80,0.54,0.26,19.9067,-75.1467,POINT(-75.1467 19.9067)
9751401,"Lime Tree Bay, VI",1977,2015,38,88,2.49,0.81,0.82,0.26,17.6947,-64.7538,POINT(-64.7538 17.6947)
9751639,"Charlotte Amalie, VI",1975,2015,40,90,1.97,0.71,0.65,0.23,18.3358,-64.9200,POINT(-64.9200 18.3358)
9755371,"San Juan, PR",1962,2015,53,91,2.02,0.44,0.66,0.14,18.4589,-66.1164,POINT(-66.1164 18.4589)
9759110,"Magueyes Island, PR",1955,2015,60,96,1.70,0.33,0.56,0.11,17.9701,-67.0464,POINT(-67.0464 17.9701)
